artist_name,biography,listeners,playcount,similar_artists
Ricky Rojas," <a href=""https://www.last.fm/music/Ricky+Rojas"">Read more on Last.fm</a>",16249,150862,"['Danny Burstein', 'Tam Mutu', 'Sahr Ngaujah', 'Karen Olivo', 'Cassidy Janson']"
Paweł Błaszczak,"Paweł Błaszczak is a Polish game music composer, who created soundtracks for Techland games Dying Light, Call of Juarez, and Call of Juarez: Bound in Blood. He also wrote the music for Chrome and The Witcher in collaboration with Adam Skorupa. He created his first compositions for the video game developer Techland in 1997. He currently works as a freelance composer. <a href=""https://www.last.fm/music/Pawe%C5%82+B%C5%82aszczak"">Read more on Last.fm</a>",11125,424784,"['Adam Skorupa', 'Krzysztof Wierzynkiewicz', 'Adam Skorupa & Krzysztof Wierzynkiewicz', 'Marcin Przybyłowicz', 'Olivier Deriviere']"
Amber Gray,"Amber Renae Gray (born April 2, 1981) is an American actress and singer. She is known for portraying Hélène Bezukhova in the 2016 Broadway musical Natasha, Pierre, & the Great Comet of 1812 and for originating the role of Persephone in the musical Hadestown, both off and on Broadway. For the latter 2019 role, she was nominated for the Tony Award for Best Featured Actress in a Musical, additionally earning the 2020 Grammy Award for Best Musical Theater Album. <a href=""https://www.last.fm/music/Amber+Gray"">Read more on Last.fm</a>",78535,1296079,"['Patrick Page', 'Eva Noblezada', 'André De Shields', 'Hadestown Original Broadway Company', 'Original Cast of Hadestown']"
Danny Burstein," <a href=""https://www.last.fm/music/Danny+Burstein"">Read more on Last.fm</a>",30917,399423,"['Tam Mutu', 'Sahr Ngaujah', 'Ricky Rojas', 'Karen Olivo', 'Adam Kantor']"
10cm,"10cm (십센치) is the musical project of South Korean singer-songwriter Kwon Jungyeol (권정열). Originally a two-member band, member Yoon Cheoljung (윤철정) left the band in 2017.

The duo was formed in 2009, and debuted in 2010 with the release of their debut EP 'The 1st'. The band won ""This Year's Discovery Award"" at the 2010 Mnet Asian Music Awards, and ""Best Pop Single Award"" at the 2011 Korean Music Awards.

Kwon continued to promote under 10cm following the departure of Yoon in 2017 <a href=""https://www.last.fm/music/10cm"">Read more on Last.fm</a>",265519,5876449,"['Sam Kim', 'Kim Kyung Hee', 'Jung Seung Hwan', 'Lee Mujin', 'DAVICHI']"
Empire,"There are (or were) at least 14 bands called Empire including a podcast produced by the UK film magazine Empire.

1) EMPiRE, were a Japanese female idol group which debuted in August of 2017 and disbanded 2nd June 2022. They were launched as a joint project between the record label avex and Watanabe Junnosuke's agency, WACK, going by the name ""Project aW"" before debut. The founding members were YUKA EMPiRE, MiDORiKO EMPiRE, MAYU EMPiRE, YU-Ki EMPiRE, and YUiNA EMPiRE. <a href=""https://www.last.fm/music/Empire"">Read more on Last.fm</a>",68932,1102434,"['BAND-MAID', 'Tony Martin', 'Krokus', 'Pretty Maids', 'Quiet Riot']"
Reeve Carney,"Reeve Jefferson Carney (born April 18, 1983) is an American singer-songwriter and actor most known for originating the role of Peter Parker/Spider-Man in Spider-Man: Turn Off the Dark on Broadway and playing Orpheus in the Original Broadway Cast of Hadestown. He also played Dorian Gray in the Showtime series Penny Dreadful and Riff Raff in the Fox musical television film The Rocky Horror Picture Show: Let's Do the Time Warp Again.
He is currently on Broadway as Orpheus in the Tony Award-winning musical Hadestown <a href=""https://www.last.fm/music/Reeve+Carney"">Read more on Last.fm</a>",137011,3296792,"['Patrick Page', 'Amber Gray', 'Eva Noblezada', 'André De Shields', 'Hozier']"
Marc Streitenfeld,"Marc Streitenfeld is a German film score composer, known for his collaborations with director Ridley Scott.

Born in Munich, Germany, Streitenfeld relocated to Los Angeles at the age of 19, first working briefly as a musical assistant for composer Hans Zimmer, then independently as a music editor and supervisor on several blockbusters.

At the request of Ridley Scott, Streitenfeld composed for A Good Year (2006), after acting as music supervisor on Scott's 2005 film Kingdom of Heaven (scored by Harry Gregson-Williams). <a href=""https://www.last.fm/music/Marc+Streitenfeld"">Read more on Last.fm</a>",234488,3229008,"['Jed Kurzel', 'William Ross', 'Steven Price', 'Harry Gregson-Williams', 'Fernando Velázquez']"
Clinton Shorter,"Clinton Shorter (born March 18, 1971) is a Canadian film and television composer. He is particularly known for his score for Neill Blomkamp's film District 9. He has also composed the music for over 300 television episodes.

Shorter was born in North Vancouver, British Columbia. He initially studied jazz in college before switching to music composition.

Shorter created the score for an independent film, Come Together, in Vancouver. He went on to create music for several more films in the Vancouver area <a href=""https://www.last.fm/music/Clinton+Shorter"">Read more on Last.fm</a>",113247,1953194,"['Reynard Seidel', 'Joel Nielsen', 'Mychael Danna', 'Ryan Taubert', 'cxrgi']"
Arijit Singh,"Arijit Singh (Hindi:अरिजित सिंह; born 25 April 1987 in Murshidabad, India) is an Indian playback singer whose songs have been featured in recent Bollywood movies. He was one of top six contestants in reality-singing series, Fame Gurukul in 2005 and became an assistant to music director Pritam.

Singh is a trained classical singer who has performed in many stage shows. His career as a playback singer started when he participated in a singing reality show called Fame Gurukul (2005), while still in college. <a href=""https://www.last.fm/music/Arijit+Singh"">Read more on Last.fm</a>",189174,9703787,"['Vishal Mishra', 'Atif Aslam', 'Ankit Tiwari', 'Pritam', 'Mithoon']"
Steven Price,"Steven Price (born 22 April 1977 in Nottingham, England, UK) is a British film composer, best known for scoring The World's End and Gravity, both from 2013. For the latter film he received an Academy Award win for Best Original Score.
Along with Basement Jaxx, Price scored the 2011 film Attack the Block, and the soundtrack was released on 16 May 2011. <a href=""https://www.last.fm/music/Steven+Price"">Read more on Last.fm</a>",191869,2720672,"['Harry Gregson-Williams', 'James Newton Howard', 'Marc Streitenfeld', 'Hans Zimmer', 'Steve Jablonsky']"
Ivo Pattiera," <a href=""https://www.last.fm/music/Ivo+Pattiera"">Read more on Last.fm</a>",448,2171,"['Klapa Maslina', 'Klapa Šibenik', 'Tomislav Ivčić', 'Đani Maršan', 'Nenad Kero']"
krunoslav kićo slabinac,"Born in Osijek on 28th of March 1948. He started his singing career with Osijek's pop groups and his solo career was marked by song ""Plavuša"" (eng. Blonde:P). Nowadays he sings on festivals, winner of many awards, he often goes on tours for Croatian diaspora. He is a succesfull hit composer, founder of ""tambura"" band ""Bećari"" with whom he entertains and fosters original melodies of Croatian people.


//


Rođen u Osijeku 28.03.1948. S pjevanjem je započeo u Osiječkim pop grupama a solističku karijeru obilježila mu je skladba Plavuša. <a href=""https://www.last.fm/music/krunoslav+ki%C4%87o+slabinac"">Read more on Last.fm</a>",1010,8483,"['Zlatni Dukati', 'Gazde', 'Slavonske Lole', 'Najbolji Hrvatski Tamburaši', 'Zlatko Pejaković']"
Группа 101," <a href=""https://www.last.fm/music/%D0%93%D1%80%D1%83%D0%BF%D0%BF%D0%B0+101"">Read more on Last.fm</a>",496,5360,"[""Rin'Go"", 'Батыр', 'Kazybek Kuraiysh', 'Orda', 'Орда']"
Tereza Kesovija,"Croatian singer Tereza Kesovija was born in Dubrovnik where she got her early music education. She won a federal young Musicians Competition in Ljubljana (Slovenia). After that she graduated the flute at the Academy of Music in Zagreb (in the class of Theo Tabak) and as student started appearing in non-professional stages. Her exceptional musicality and command of the stage, as well as a beautiful voice of particular colour and timbre and a high-profile professional personality gained her international career. <a href=""https://www.last.fm/music/Tereza+Kesovija"">Read more on Last.fm</a>",4735,77489,"['Meri Cetinic', 'Jasna Zlokic', 'Gabi Novak', 'Vinko Coce', 'Mladen Grdović']"
Badal Paul," <a href=""https://www.last.fm/music/Badal+Paul"">Read more on Last.fm</a>",6,24,[]
Urbanus,"Urbain Servranckx (June 7, 1949, Schepdaal, Belgium), also known as Urbain and Urbanus van Anus, is a Belgian comedian, actor, singer and comic book 'hero'. He shocked the Flemish conservative fraction by writing a song that is a parody on the birth of Jesus.

In 1984, Urbanus and Willy Linthout began writing comic books with Urbanus himself as the main character. As of 2005 more than a hundred such comic books have been published.

His first movie <a href=""https://www.last.fm/music/Urbanus"">Read more on Last.fm</a>",28607,472737,"['Flip Kowlier', 'Clouseau', 'De Kreuners', 'Raymond van het Groenewoud', 'De Mens']"
Prajoth D'sa," <a href=""https://www.last.fm/music/Prajoth+D%27sa"">Read more on Last.fm</a>",30,112,"['Brosinthemix', 'Henry T. D Souza', 'The 7 Notes Band', 'Gonzaga Coutinho', 'Alison Gonsalves']"
Đani Maršan,"Đani Maršan is a croatian musician, born 23rd of June, 1944. in Zadar.
He served as a merchant navy officer for two years. In 1969. he graduated on College for foreign trade in Zagreb. He acitvely speaks English and Italian, and also uses German, Russian and Albanian language.
Till now he he had recorded and released about 30 EPs, ten albums and five CDs. With Croatian, he also records on Italian, English and German. He is the author of lyrics and music for more than 80 songs. <a href=""https://www.last.fm/music/%C4%90ani+Mar%C5%A1an"">Read more on Last.fm</a>",1946,19470,"['Tomislav Ivčić', 'Vinko Coce', 'Mladen Grdović', 'Mišo Kovač', 'Milo Hrnić']"
HARI RONČEVIĆ,"Hari Rončević is famous Croatian songwriter and singer from Split, well known for his touching lyrics and mellow guitar playing.

He appeared in year 1994. for the first time on ""Melodije Hrvatskog Jadrana"" (Croatian Adriatic Sea Melodies) festival and immediately won the 1. prize as decided by expert jury. 

After that his career starts to ascend, he published his first album ""Buntovnik s razlogom"" (Rebel with a cause) in 1994., followed by ""Žigolo"" (Gigolo) <a href=""https://www.last.fm/music/HARI+RON%C4%8CEVI%C4%86"">Read more on Last.fm</a>",1768,26343,[]
Stan Van Samang,"Stan van Samang is an actor. He played the role of 'Kevin' in one of Flanders famous sitcoms called 'Wittekerke'. He was discovered as music talent during the tv-shows 'Steracteur Sterartiest' (a show in which actors sang for good purposes. The winner of the shows, earned money for that good purpose). Stan won and got a record deal a few weeks later. <a href=""https://www.last.fm/music/Stan+Van+Samang"">Read more on Last.fm</a>",13159,145143,"['Wim Soutaer', 'Gene Thomas', ""Mama's Jasje"", 'Slongs Dievanongs', 'Paul Severs']"
Datuk Ahmad Jais," <a href=""https://www.last.fm/music/Datuk+Ahmad+Jais"">Read more on Last.fm</a>",2862,17763,"['Datuk Sharifah Aini', ""Dato' DJ Dave"", 'Nyanyian Ramai', 'Sanisah Huri', 'Rahimah Rahim']"
