nombre,biografia,oyentes,reproducciones,similares
Leslie Odom Jr.," <a href=""https://www.last.fm/music/Leslie+Odom+Jr."">Read more on Last.fm</a>",780897,33337796,"['Christopher Jackson', 'Phillipa Soo', 'Renée Elise Goldsberry', 'Lin-Manuel Miranda', 'Thayne Jasperson']"
"Fear, and Loathing in Las Vegas","Fear, and Loathing in Las Vegas, es una banda de emo / metalcore / electrónica se formó originalmente en el verano de 2008 por los ex miembros de Ending for a Start and Blank Time.

La banda toca principalmente música pesada con gritos, tanto de alta y baja, pero a diferencia de los sonidos de metal típico, que se han mezclado ritmos electrónicos y el canto limpio para su música brutal.

La fusión audaz y único de la música pesada y diversos sonidos electrónicos producidos por el teclado había fascinado a muchas audiencias. <a href=""https://www.last.fm/music/Fear,+and+Loathing+in+Las+Vegas"">Read more on Last.fm</a>",213589,7954727,"['a crowd of rebellion', 'MY FIRST STORY', 'coldrain', 'Fact', 'Crossfaith']"
Bear McCreary,"Nacido el 17 de febrero de 1979 en Fort Lauderdale (Florida), Bear McCreary es un compositor y músico que reside en Los Angeles, California. 

Se formó durante muchos años en Bellingham, Washington. Y aprendió con Elmer Bernstein en el USC Thornton School of Music. Compuso la música original de más de 30 películas incluido el corto musical de Jon Chu's ""When the Kids are Away"".

McCreary de manera autodidacta aprendió a tocar el acordeón y actúa junto a la banda de avant-jazz ""17 Billion Miles of DNA"". <a href=""https://www.last.fm/music/Bear+McCreary"">Read more on Last.fm</a>",520843,20700177,"['Richard Gibbs', 'Lorne Balfe', 'Howard Shore', 'Ramin Djawadi', 'Brian Tyler']"
Toby Fox,"Toby Fox (Boston, Massachussetts, 11 de octubre de 1991) es un compositor y desarrollador de videojuegos estadounidense, conocido por desarrollar Undertale. Actualmente está desarrollando un juego relacionado, Deltarune, cuyo primer capítulo fue lanzado el 31 de octubre de 2018.

Carrera

Fox estudió ciencias ambientales​ en la Universidad Northeastern en Boston, Massachusetts, y había comenzado a componer una variedad de música para el webcomic Homestuck 2009 de Andrew Hussie durante su último año de secundaria. <a href=""https://www.last.fm/music/Toby+Fox"">Read more on Last.fm</a>",1106419,133289863,"['Lena Raine', 'Omori', 'Laura Shigihara', 'Nightmargin', 'DM DOKURO']"
Daveed Diggs," <a href=""https://www.last.fm/music/Daveed+Diggs"">Read more on Last.fm</a>",395029,4603573,"['Christopher Jackson', 'Phillipa Soo', 'Leslie Odom Jr.', 'Demrick', 'Dessa']"
Okieriete Onaodowan," <a href=""https://www.last.fm/music/Okieriete+Onaodowan"">Read more on Last.fm</a>",227082,1357815,"['Thayne Jasperson', 'Christopher Jackson', 'Leslie Odom Jr.', 'Phillipa Soo', 'Renée Elise Goldsberry']"
Aimer,"Aimer es una nueva artista japonesa que firmó con Sony Music Japan. Fue expuesta a la música desde una edad temprana. Aimer ya tocaba el piano en la escuela primaria y rápidamente tomó la guitarra en la secundaria. Aimer también escribe música en Inglés y tiene un buen dominio de esa lengua debido sus experiencias en el extranjero.
El 7 de septiembre de 2011, Aimer lanzo su single debut  titulado ""六 等 星 の 夜 / 悲しみ . La canción <a href=""https://www.last.fm/music/Aimer"">Read more on Last.fm</a>",444920,23077109,"['ReoNa', 'Uru', 'Milet', 'SawanoHiroyuki[nZk]:Aimer', 'SawanoHiroyuki[nZk]']"
Phillipa Soo," <a href=""https://www.last.fm/music/Phillipa+Soo"">Read more on Last.fm</a>",545794,14137529,"['Christopher Jackson', 'Leslie Odom Jr.', 'Renée Elise Goldsberry', 'Lin-Manuel Miranda', 'Jonathan Groff']"
Original Broadway Cast of Hamilton," <a href=""https://www.last.fm/music/Original+Broadway+Cast+of+Hamilton"">Read more on Last.fm</a>",432425,10878877,"['Leslie Odom Jr., Lin-Manuel Miranda, Original Broadway Cast of Hamilton', 'Jonathan Groff', 'Phillipa Soo, Original Broadway Cast of Hamilton', 'Leslie Odom Jr., Original Broadway Cast of Hamilton', 'Phillipa Soo']"
Lin-Manuel Miranda,"Lin-Manuel Miranda (born January 16, 1980) is an American actor, composer, rapper, and writer, best known for creating and starring in the Broadway musicals Hamilton and In the Heights. He has won a Pulitzer Prize, two Grammys, an Emmy, a MacArthur ""Genius"" Award, and three Tony awards, among others.

Miranda wrote the music and lyrics for the musical In the Heights, which opened on Broadway at the Richard Rodgers Theatre in March 2008. Miranda's written work for the show earned him numerous accolades <a href=""https://www.last.fm/music/Lin-Manuel+Miranda"">Read more on Last.fm</a>",688918,24846073,"['Leslie Odom Jr.', 'Phillipa Soo', 'Renée Elise Goldsberry', 'Thayne Jasperson', 'Original Broadway Cast of Hamilton']"
Michael Giacchino,"Michael Giacchino es un compositor musical nacido en Riverside Township, Nueva Jersey (Estados Unidos), el 10 de octubre de 1967.

Giacchino es un compositor de bandas sonoras ganador de numerosos premios, conocido en sus inicios (primera mitad de la década de 2000 a 2010) por las partituras de la galardonada serie de videojuegos ambientados en la Segunda Guerra Mundial: Medal of Honor, entre otros; en especial sus tres primeras versiones, Underground, Allied Assault y Frontline. <a href=""https://www.last.fm/music/Michael+Giacchino"">Read more on Last.fm</a>",1145753,29347579,"['Alan Silvestri', 'John Williams', 'Hans Zimmer', 'James Horner', 'Henry Jackman']"
Christopher Jackson," <a href=""https://www.last.fm/music/Christopher+Jackson"">Read more on Last.fm</a>",564112,9653777,"['Leslie Odom Jr.', 'Phillipa Soo', 'Renée Elise Goldsberry', 'Thayne Jasperson', 'Okieriete Onaodowan']"
Renée Elise Goldsberry," <a href=""https://www.last.fm/music/Ren%C3%A9e+Elise+Goldsberry"">Read more on Last.fm</a>",533862,10485698,"['Christopher Jackson', 'Phillipa Soo', 'Leslie Odom Jr.', 'Thayne Jasperson', 'Okieriete Onaodowan']"
Jasmine Cephas-Jones," <a href=""https://www.last.fm/music/Jasmine+Cephas-Jones"">Read more on Last.fm</a>",307646,2880336,"['Okieriete Onaodowan', 'Phillipa Soo', 'Renée Elise Goldsberry', 'Leslie Odom Jr.', 'Christopher Jackson']"
Thayne Jasperson," <a href=""https://www.last.fm/music/Thayne+Jasperson"">Read more on Last.fm</a>",311950,2358554,"['Okieriete Onaodowan', 'Christopher Jackson', 'Leslie Odom Jr.', 'Phillipa Soo', 'Renée Elise Goldsberry']"
Goose house," <a href=""https://www.last.fm/music/Goose+house"">Read more on Last.fm</a>",273824,4232788,"['Coalamode.', '7!!', 'いきものがかり', 'Ryokuoushoku Shakai', '鈴木このみ']"
Jonathan Groff,"Jonathan Drew Groff (nacido el 26 de marzo 1985) es un canta-autor estadounidense de música pop, teatro, televisión y actor de cine. Hace poco estaba interpretando a Jesse St. James en la serie de televisión musical Glee.

Groff nació en Lancaster, Pennsylvania los padres: Jim, un entrenador de caballos, conductor del arnes, y Julie, una profesora de gimnasia. Tiene un hermano mayor, David. Respecto a su educación, ha dicho ""la parte de la familia de mi madre es Metodista, y asi es como me criaron. <a href=""https://www.last.fm/music/Jonathan+Groff"">Read more on Last.fm</a>",713895,12207721,"['Original Broadway Cast of Hamilton', 'Phillipa Soo', 'Christopher Jackson', 'Christopher Jackson, Daveed Diggs, Lin-Manuel Miranda & Okieriete Onaodowan', 'Phillipa Soo & Lin-Manuel Miranda']"
KANA-BOON," <a href=""https://www.last.fm/music/KANA-BOON"">Read more on Last.fm</a>",486377,10692986,"['NICO Touches the Walls', 'Flow', 'BLUE ENCOUNT', 'BURNOUT SYNDROMES', 'SPYAIR']"
John Williams,"Existen 2 Artistas con El mismo nombre.

John Williams. [ Compositor ]

John Williams. [ Guitarrista  Clásico ]




John Williams. [ Compositor ]

John Towner Williams (Floral Park, Nueva York, 8 de febrero de 1932) es un compositor y director de orquesta estadounidense. En una carrera que se extiende durante cinco décadas, Williams ha compuesto varias de las más famosas bandas sonoras de la historia del cine como: Tiburón, La Guerra de las Galaxias, E. <a href=""https://www.last.fm/music/John+Williams"">Read more on Last.fm</a>",2166627,67375993,"['Patrick Doyle', 'James Horner', 'Nicholas Hooper', 'Jerry Goldsmith', 'Alan Silvestri']"
The Barden Bellas," <a href=""https://www.last.fm/music/The+Barden+Bellas"">Read more on Last.fm</a>",337697,4837070,"['The Treblemakers', 'The Bellas', 'Das Sound Machine', 'The Barden Bellas, The Treblemakers & The Bu Harmonics', 'Ester Dean & Skylar Astin']"
Eir Aoi,"Eir Aoi: Nació el 30 de noviembre de 1988, es una cantante japonesa de Sapporo Hokkaido.
Aoi comenzó su carrera como cantante en una banda que se formó en la escuela secundaria. Después de graduarse, trabajó como modelo de huecograbado con el nombre de Yui Arisawa.  Después de dejar su carrera como modelo, ella continuó realizando públicamente y lanzó su primer single ""Memoria"" el 19 de octubre de 2011, que se utiliza como el primer tema de la canción final de la 2011 serie de anime Fate / Zero . <a href=""https://www.last.fm/music/Eir+Aoi"">Read more on Last.fm</a>",138929,2562417,"['ASCA', '戸松遥', 'Luna Haruna', '鈴木このみ', 'ReoNa']"
Trevor Morris,"Trevor Morris nacido el 25 de mayo de 1970, es un compositor orquestal canadiense, además de productor musical y creador de música electrónica. Es, probablemente, el mejor creador conocido de bandas sonoras para shows de televisión, entre los que se cuentan ""The Tudors"" y ""The Pillars of the Earth"".

Anterior a esto trabajó como asistente de Hans Zimmer y en composiciones para varios video juegos incluidos ""SimCity Societies"", ""Army of Two"" y ""Need for Speed:Carbon"" <a href=""https://www.last.fm/music/Trevor+Morris"">Read more on Last.fm</a>",305250,8031235,"['Inon Zur', 'EA Games Soundtrack', 'Hans Zimmer & Lorne Balfe', 'Raney Shockne', 'Borislav Slavov']"
Kazuya Yoshii," <a href=""https://www.last.fm/music/Kazuya+Yoshii"">Read more on Last.fm</a>",30171,322721,"['Takayoshi Tanimoto', 'Flow', 'The Yellow Monkey', 'ROTTENGRAFFTY', 'Masatoshi Ono']"
Ramin Djawadi,"Ramin Djawadi (n. Duisburg, Alemania, 19 de julio de 1974) es un compositor de música orquestal para cine y televisión.

Ramin es conocido por su trabajo nominado a los Grammy en Iron Man. Tras obtener una calificación de summa cum laude en el Berklee College of Music en 1998, llamó la atención de Hans Zimmer, quien le contrató para trabajar en Remote Control Productions. Tras mudarse a Los Ángeles, Djawadi fue ayudante de Klaus Badelt y compuso música para La máquina del tiempo <a href=""https://www.last.fm/music/Ramin+Djawadi"">Read more on Last.fm</a>",916884,46013768,"['Hans Zimmer', 'Bear McCreary', 'Lorne Balfe', 'James Newton Howard', 'Michael Giacchino']"
Marcin Przybyłowicz," <a href=""https://www.last.fm/music/Marcin+Przyby%C5%82owicz"">Read more on Last.fm</a>",346379,11018522,"['Mikolai Stroinski', 'P.T. Adamczyk', 'Paul Leonard-Morgan', 'Percival & Marcin Przybyłowicz', 'Piotr Musial']"
Ariana DeBose," <a href=""https://www.last.fm/music/Ariana+DeBose"">Read more on Last.fm</a>",224293,1596015,"['Christopher Jackson', 'Okieriete Onaodowan', 'Thayne Jasperson', 'Phillipa Soo', 'Leslie Odom Jr.']"
坂本龍一,"Ryūichi Sakamoto (坂本 龍一 Sakamoto Ryūichi) (Tokio, 17 de enero de 1952), es un músico, compositor y actor japonés. En 1963 estudió en la Tokyo National University of Fine Arts and Music con el maestro Matsumoto, y en 1971 obtuvo su diploma de música electrónica y étnica. En 1977 comenzó a trabajar con músicos famosos de jazz, rock y música clásica, pero no fue hasta un año después cuando salió a la luz uno de sus mayores y más famosos proyectos: Yellow Magic Orchesta (YMO), junto con Haruomi Hosono y Yukihiro Takahashi. <a href=""https://www.last.fm/music/%E5%9D%82%E6%9C%AC%E9%BE%8D%E4%B8%80"">Read more on Last.fm</a>",186219,6420683,"['Yellow Magic Orchestra', 'Alva Noto + Ryuichi Sakamoto', '細野晴臣', '高橋幸宏', 'Sketch Show']"
Dario Marianelli,"Dario Marianelli nació en Pisa, y estudió piano y composición en Florencia y Londres. Después de un año como compositor postgraduado en la Guildhall School of Music and Drama, donde también fue Presidente de la Sociedad Contemporánea de Música, recibió una beca de la Fundación Gulbenkian para un curso impartido por Judith Weir y Lloyd Newson en Bretton University College, sobre el tema de la composición y coreografía. Otras becas le permitieron ir a Alemania para una serie de trabajos sobre Música de Cine Europeo <a href=""https://www.last.fm/music/Dario+Marianelli"">Read more on Last.fm</a>",787075,14116030,"['Alexandre Desplat', 'Rachel Portman', 'James Newton Howard', 'Craig Armstrong', 'Abel Korzeniowski']"
Roque Baños,"Roque Baños López (Murcia, 1968), es un compositor Español, considerado uno de los mejores compositores de bandas sonoras del panorama musical español. Ha estado relacionado con el mundo de la música desde siempre puesto que tuvo un gran referente en su padre que fue saxofonista. Comienza sus primeros estudios en el conservatorio Superior de Música de Murcia donde finaliza el grado elemental en la especialidad de saxofón con las máximas calificaciones. <a href=""https://www.last.fm/music/Roque+Ba%C3%B1os"">Read more on Last.fm</a>",77012,486735,"['James Newton Howard', 'Steven Price', 'John Debney', 'Fernando Velázquez', 'Marco Beltrami']"
Basil Poledouris,"Basil Konstantine Poledouris (1945-2006) fue un compositor Estadounidense de bandas sonoras para películas. Nació en 1945 en Kansas e inició los estudios de cinematografía en la University of Southern California (U.S.C.). A lo largo de los cursos estudió dirección cinematográfica, edición y sonido. Allí coincidió con dos futuros directores, John Milius y Randal Keiser para quien llegaría a componer hasta nueve partituras, Músico sinfónico <a href=""https://www.last.fm/music/Basil+Poledouris"">Read more on Last.fm</a>",190543,4141354,"['Jerry Goldsmith', 'James Horner', 'Alan Silvestri', 'John Williams', 'Elmer Bernstein']"
Craig Armstrong,"Compositor británico nacido en 1958. Se inició en el teatro y en la televisión, antes de dar el salto al cine, en el que comenzó haciendo arreglos y orquestaciones. Ha destacado por sus colaboraciones musicales con artistas de la talla de Madonna, U2 o Björk.

Composiciones para peliculas:
 
World trade center 2006,
La sombra de un secuestro 2004,  
Ray 2004, 
Love actually 2003, 
Las hermanas de la Magdalena 2002, 
El americano impasible 2001, 
Moulin Rouge 2001, 
El coleccionista de huesos 1999, 
Un plan perfecto 1999, <a href=""https://www.last.fm/music/Craig+Armstrong"">Read more on Last.fm</a>",757944,10248922,"['Dario Marianelli', 'Thomas Newman', 'James Newton Howard', 'Rachel Portman', 'Alexandre Desplat']"
Mikolai Stroinski," <a href=""https://www.last.fm/music/Mikolai+Stroinski"">Read more on Last.fm</a>",202046,6826698,"['Marcin Przybyłowicz', 'Percival & Marcin Przybyłowicz', 'Krzysztof Wierzynkiewicz', 'Adam Skorupa', 'Piotr Musiał']"
BRADIO," <a href=""https://www.last.fm/music/BRADIO"">Read more on Last.fm</a>",162234,3124216,"['Hello Sleepwalkers', 'KANA-BOON', 'スキマスイッチ', 'Polkadot Stingray', 'NICO Touches the Walls']"
Paper Swans," <a href=""https://www.last.fm/music/Paper+Swans"">Read more on Last.fm</a>",4212,60758,"['Edward Hogston', '77Ke 柯棨棋', 'RE:WIND', '展軒', '梓渝']"
The Treblemakers," <a href=""https://www.last.fm/music/The+Treblemakers"">Read more on Last.fm</a>",199135,2320163,"['The Barden Bellas', 'Das Sound Machine', 'The Bellas', 'The Barden Bellas, The Treblemakers & The Bu Harmonics', 'Ester Dean & Skylar Astin']"
Percival Schuttenbach," <a href=""https://www.last.fm/music/Percival+Schuttenbach"">Read more on Last.fm</a>",155266,3463190,"['Żywiołak', 'Laboratorium Pieśni', 'Percival', 'Łysa Góra', 'Arkona']"
SIE Sound Team," <a href=""https://www.last.fm/music/SIE+Sound+Team"">Read more on Last.fm</a>",172883,4166848,"['Yuka Kitamura', 'tai tomisawa', 'Shoi Miyazawa', 'Tsukasa Saitoh', 'SIEサウンドチーム']"
Donna Burke,"Donna Burke es una cantante y actriz de voz australiana. Ha publicado tres álbumes, así como actuado como actriz de voz en varios animes y videojuegos.

Su primera aparición en la saga Metal Gear fue cantando ""Heavens Divide"" de Metal Gear Solid: Peace Walker. Luego proveyó la voz del iDroid en Metal Gear Solid V: Ground Zeroes y Metal Gear Solid V: The Phantom Pain, además de interpretar ""Sins of the Father"" en The Phantom Pain. Burke también hizo versiones de los temas ""The Best is Yet to Come"" <a href=""https://www.last.fm/music/Donna+Burke"">Read more on Last.fm</a>",62936,835570,"['Natasha Farrow', 'Jackie Presti', 'Carla White', 'Cynthia Harrell', 'Ludvig Forssell']"
Sho Oosawa," <a href=""https://www.last.fm/music/Sho+Oosawa"">Read more on Last.fm</a>",12188,76622,"['Reiko Nakanishi', 'Yuko Koura', 'Yuuki Okamoto', '本間芽衣子（CV.茅野愛衣）', 'ジョバンニ']"
CHiCO with HoneyWorks," <a href=""https://www.last.fm/music/CHiCO+with+HoneyWorks"">Read more on Last.fm</a>",128122,2669741,"['SPYAIR', 'ReoNa', 'ClariS', 'ChouCho', '鈴木このみ']"
Yutaka Yamada," <a href=""https://www.last.fm/music/Yutaka+Yamada"">Read more on Last.fm</a>",122274,3425718,"['KOHTA YAMAMOTO', 'Hiroyuki Sawano', '林ゆうき', 'Masaru Yokoyama', '照井順政']"
Aqua Timez,"Aqua Timez es una banda que lanzó su mini-album debut no hace mucho tiempo y que se convirtió inmediatamente en un éxito en los rankings Japoneses.

Esto no es ninguna sorpresa, como su música es muy pegadiza, despreocupada y optimista, mezclando estilos músicales como el reggae, rock y rap juntos. Son similares a bandas como HY, Def Tech y tienen un toque de la música de Ketsumeishi también.

La alineación es el cantante/rapero, tecladista y guitarrista, además tienen algunos proyectos paralelos con HY. <a href=""https://www.last.fm/music/Aqua+Timez"">Read more on Last.fm</a>",171446,6012991,"['SPYAIR', 'KELUN', 'NICO Touches the Walls', 'Flow', 'UVERworld']"
James Newton Howard,"James Newton Howard (n. 9 de junio de 1951 en Los Ángeles) es un compositor estadounidense, varias veces nominado a los premios Óscar.

Biografía

A través de su prolífica carrera como compositor, músico y escritor de canciones, James Newton Howard ha compuesto partituras de todas las escalas y géneros, ganando múltiples nominaciones por sus trabajos. Howard inició sus estudios de música desde temprana edad al cursar sus estudios en la Music Academy of the West en Santa Barbara <a href=""https://www.last.fm/music/James+Newton+Howard"">Read more on Last.fm</a>",1015103,20728205,"['James Horner', 'Alan Silvestri', 'Patrick Doyle', 'Harry Gregson-Williams', 'John Williams']"
Max Richter,"Max Richter (b. 1966) es un compositor alemán, que ahora vive en el Reino Unido.

Richter se formó en piano y composición en la Universidad de Edimburgo, la Royal Academy of Music, y con Luciano Berio en Florencia. La información disponible en su propio sitio web afirma que ""su primera música es principalmente Modernismo duro: muy influida por Xenakis"".

Después de terminar sus estudios, Richter co-fundó el conjunto clásico contemporáneo Piano Circus <a href=""https://www.last.fm/music/Max+Richter"">Read more on Last.fm</a>",1444331,61323806,"['Jóhann Jóhannsson', 'Ólafur Arnalds', 'Nils Frahm', 'A Winged Victory for the Sullen', ""Dustin O'Halloran""]"
Peter Gregson," <a href=""https://www.last.fm/music/Peter+Gregson"">Read more on Last.fm</a>",150647,1165455,"['Sophie Hutchings', 'Luke Howard', 'Gabríel Ólafs', 'Chad Lawson', 'Federico Albanese']"
Harry Gregson-Williams,"Harry Gregson-Williams (13 de Diciembre de 1961) es un compositor británico de música cinematográfica, fue nominado a los Golden Globe y Grammy. Tempranamente en su carrera, Harry Gregson-Williams consiguió un puesto en los años 80 como profesor de música en el Amesbury School en Hindhead, Surrey, England (su hermano Rupert, también compositor de música cinematográfica, enseño en Amesbury School durante este periodo). Después, el enseño música en el Guildhall School of Music & Drama <a href=""https://www.last.fm/music/Harry+Gregson-Williams"">Read more on Last.fm</a>",745024,16042549,"['日比野則彦', 'James Newton Howard', 'James Horner', 'Hans Zimmer', 'Alan Silvestri']"
Super DJ Yuuki," <a href=""https://www.last.fm/music/Super+DJ+Yuuki"">Read more on Last.fm</a>",26426,136975,"['Yuuki Okamoto', 'Hisao Noguchi', 'Reiko Nakanishi', 'KuroUsaP', 'recitativo']"
Patrick Doyle,"Patrick Doyle (Uddingston, South Lanarkshire, 6 de abril de 1953), es un compositor escocés de bandas sonoras de película, que ha trabajado con alguno de los directores más importantes del cine moderno, como Brian de Palma o Kenneth Branagh.

Nacido cerca de Glasgow, Doyle se benefició de una educación muy musical. Él entrenó en la academia escocesa real de Patrick estudiada en la academia escocesa real de música y de drama y graduada en 1974. <a href=""https://www.last.fm/music/Patrick+Doyle"">Read more on Last.fm</a>",487482,8536252,"['Nicholas Hooper', 'John Williams', 'Alexandre Desplat', 'James Newton Howard', 'Alan Silvestri']"
GENERATIONS from EXILE TRIBE," <a href=""https://www.last.fm/music/GENERATIONS+from+EXILE+TRIBE"">Read more on Last.fm</a>",56041,1078857,"['THE RAMPAGE from EXILE TRIBE', '三代目 J SOUL BROTHERS from EXILE TRIBE', 'FANTASTICS from EXILE TRIBE', 'BALLISTIK BOYZ from EXILE TRIBE', 'Exile']"
Das Sound Machine," <a href=""https://www.last.fm/music/Das+Sound+Machine"">Read more on Last.fm</a>",95854,719890,"['The Barden Bellas', 'The Treblemakers', 'The Barden Bellas, The Treblemakers & The Bu Harmonics', 'Ester Dean & Skylar Astin', 'Anna Kendrick']"
Virgen de los Reyes,"La Agrupación Musical Virgen de los Reyes es una formación musical nacida en la ciudad de Sevilla en el año 1980. 
Con más de 40 años de historia, cuenta con más de 140 músicos entre sus filas y una banda juvenil con en torno a 90 miembros.

La banda, dirigida en la actualidad por Antonio Velasco, cuenta en su dirección musical con prolíficos y reconocidos compositores como Alejandro Blanco ('Vida', 'Volver', 'La Esperanza de María', entre otras) o el propio Javier Cebrero ('Contigo', 'Al Rey de los Reyes', 'Salud para los enfermos'). <a href=""https://www.last.fm/music/Virgen+de+los+Reyes"">Read more on Last.fm</a>",2313,61318,"['Las Cigarreras', 'Agrupación Musical Nuestro Padre Jesús de la Redención de Sevilla', 'Agrupación Musical Ntra. Sra. De Los Reyes', 'Agrupación Musical Ntra. Sra. de la Encarnación', 'Tres Caidas de Triana']"
Lisa,"1) Risa Oribe (织 部 里 沙 Oribe Risa, nacido el 24 de junio de 1997), más conocido por su nombre artístico LiSA (un acrónimo de Love is Same All), es una cantante y compositora japonesa de Seki, Gifu y está firmada a Aniplex bajo Sony Music Artists. Inicialmente un cantante de una banda indie, Lisa hizo su debut en 2010 cantando canciones de la series de televisión del anime Angel Beats! como una de las dos vocalistas de la banda ficticia Girls Dead Monster. <a href=""https://www.last.fm/music/Lisa"">Read more on Last.fm</a>",1799406,116095742,"['Jennie', 'JISOO', 'BLACKPINK', 'Rosé', 'Meovv']"
鈴木このみ," <a href=""https://www.last.fm/music/%E9%88%B4%E6%9C%A8%E3%81%93%E3%81%AE%E3%81%BF"">Read more on Last.fm</a>",32544,1116110,"['nonoc', 'MYTH & ROID', 'ZAQ', 'ASCA', '前島麻由']"
Agrupacion Musical Nuestro Padre Jesús Despojado de Jaen," <a href=""https://www.last.fm/music/Agrupacion+Musical+Nuestro+Padre+Jes%C3%BAs+Despojado+de+Jaen"">Read more on Last.fm</a>",313,3981,"['Agrupación Musical Nuestro Padre Jesús de la Redención de Sevilla', 'Agrupación Musical María Santísima de la Estrella (Granada)', 'Agrupación Musical Nuestro Padre Jesús de la Salud -Los Gitanos-', 'Agrupación Musical Lágrimas de Dolores', 'Agrupación Musical Ntro. Padre Jesús de la Pasión (Linares)']"
Gareth Coker," <a href=""https://www.last.fm/music/Gareth+Coker"">Read more on Last.fm</a>",247697,7692317,"['Austin Wintory', 'Berlinist', 'Curtis Schweitzer', 'Lena Raine', 'Joris de Man']"
Dean Fujioka," <a href=""https://www.last.fm/music/Dean+Fujioka"">Read more on Last.fm</a>",124761,1462447,"['taro umebayashi', 'BURNOUT SYNDROMES', 'ギヴン', 'SCREEN mode', 'Lenny code fiction']"
Geek Music," <a href=""https://www.last.fm/music/Geek+Music"">Read more on Last.fm</a>",833257,7877391,"[""L'Orchestra Cinematique"", 'Anime Zing', 'Clinton Shorter', 'Frederic Bernard', 'London Music Works']"
Robert D.," <a href=""https://www.last.fm/music/Robert+D."">Read more on Last.fm</a>",58046,349926,"['Interupt', 'Thelma Plum', 'Peter Gundry', 'Kita Alexander', 'Wafia']"
Christopher Fitzgerald," <a href=""https://www.last.fm/music/Christopher+Fitzgerald"">Read more on Last.fm</a>",247376,2189260,"['Idina Menzel & Leo Norbert Butz', 'Kristin Chenoweth & Idina Menzel', 'Kristin Chenoweth', 'Idina Menzel', 'Carole Shelley & Idina Menzel']"
菅野祐悟," <a href=""https://www.last.fm/music/%E8%8F%85%E9%87%8E%E7%A5%90%E6%82%9F"">Read more on Last.fm</a>",17171,881761,"['岩崎琢', 'Jin Hashimoto', 'ichigo from 岸田教団&THE明星ロケッツ', '松尾早人', '富永TOMMY弘明']"
3年E組うた担(渚&茅野&業&磯貝&前原)," <a href=""https://www.last.fm/music/3%E5%B9%B4E%E7%B5%84%E3%81%86%E3%81%9F%E6%8B%85(%E6%B8%9A&%E8%8C%85%E9%87%8E&%E6%A5%AD&%E7%A3%AF%E8%B2%9D&%E5%89%8D%E5%8E%9F)"">Read more on Last.fm</a>",81891,1143461,"['Lenny code fiction', 'SCREEN mode', 'BURNOUT SYNDROMES', 'KANA-BOON', 'Kankaku Piero']"
林ゆうき," <a href=""https://www.last.fm/music/%E6%9E%97%E3%82%86%E3%81%86%E3%81%8D"">Read more on Last.fm</a>",9866,756347,"['Asami Tachibana', 'Hiroyuki Sawano', '澤野弘之', 'KOHTA YAMAMOTO', 'Masaru Yokoyama']"
Crush," <a href=""https://www.last.fm/music/Crush"">Read more on Last.fm</a>",576555,23382009,"['Zion.T', 'Colde', 'Dean', 'Hoody', 'Sam Kim']"
RADWIMPS,"RADWIMPS es una banda de rock de origen japones. RADWIMPS combina distintos estilos musicales como el rap y el funk, añadiendo letras bastantes picantes y contestatarias en algunos momentos. <a href=""https://www.last.fm/music/RADWIMPS"">Read more on Last.fm</a>",651882,40040927,"['BUMP OF CHICKEN', 'Yorushika', '米津玄師', 'back number', 'Galileo Galilei']"
Ryan Gosling,"Su nombre completo es Ryan Thomas Gosling. Nacido en Ontario (Canadá) el 12 de Noviembre de 1980. Actor y cantante canadiense, es el vocalista de la banda llamada Dead Man's Bones.

Filmografía
=========

Cine

Gangster Squad (2012)
The Ides of March (2011)
Drive (2011)
Crazy, Stupid, Love (2011)
Blue Valentine (2010) 
All good things (2010) 
Lars y una chica de verdad (2007) 
Fracture (2007) 
Half Nelson (2006) 
Stay (2005) 
The United States of Leland (2004)  <a href=""https://www.last.fm/music/Ryan+Gosling"">Read more on Last.fm</a>",998022,16023807,"['Andrew Garfield', 'Shawn Mendes', 'Charlotte Cardin', 'Goody Grace', 'Emma Stone']"
John Legend,"John Stephens, conocido como John Legend, es un cantante de R&B y neo soul, compositor musical y pianista nacido el 28 de diciembre de 1978 en Springfield, Ohio. Su álbum debut fue Get Lifted, lanzado en 2004 y con colaboraciones de Kanye West y Snoop Dogg. Los singles de mayor éxito fueron Used To Love U y Ordinary People. Ha colaborado con Slum Village en el tema Selfish y tocó el piano en el Everything is Everything de Lauryn Hill. En 2006 lanzo su segundo album de estudio Once Again, aclamado por la critica. <a href=""https://www.last.fm/music/John+Legend"">Read more on Last.fm</a>",3067745,54239939,"['Anthony Hamilton', 'Robin Thicke', 'Alicia Keys', 'Musiq', 'Mary J. Blige']"
CHANYEOL," <a href=""https://www.last.fm/music/CHANYEOL"">Read more on Last.fm</a>",276542,10551610,"['EXO-SC', '수호', 'Chen', 'Exo', 'Xiumin']"
Hans Zimmer,"Hans Zimmer (Fráncfort del Meno, Alemania; 12 de septiembre de 1957); compositor de bandas sonoras cinematográficas, pionero en la integración de música electrónica y arreglos orquestales tradicionales. Ganador del premio Oscar de la Academia de las Artes y las Ciencias Cinematográficas a la mejor banda sonora en 1995. Hoy día es considerado uno de los compositores más sobresalientes de Hollywood.

De pequeño recibió clases de piano, más <a href=""https://www.last.fm/music/Hans+Zimmer"">Read more on Last.fm</a>",2603041,138568467,"['Hans Zimmer & James Newton Howard', 'Ludwig Göransson', 'James Horner', 'Michael Giacchino', 'Harry Gregson-Williams']"
