artist_name,biography,listeners,playcount,similar_artist
Daveed Diggs,"Daveed Daniele Diggs (born January 24, 1982 in Oakland, California) is an Oakland born rapper, writer, actor, and educator. He is a part of the critically acclaimed hip-hop trio, clipping. https://www.last.fm/music/Daveed+Diggs",415158,4996907,Christopher Jackson
Phillipa Soo,"Phillipa Soo (born May 31, 1990) is an American actress best known for originating the role of Elizabeth Schuyler Hamilton in the 2015 Broadway musical, Hamilton.

After graduating from Juilliard in 2012, Soo was cast as Natasha Rostova in the Ars Nova production of Dave Malloy's Natasha, Pierre & The Great Comet of 1812, based on Leo Tolstoy's War & Peace; the show went on to transfer Off-Broadway to Kazino, a tent custom built for the show.

In https://www.last.fm/music/Phillipa+Soo",579996,15510216,Christopher Jackson
Jonathan Groff,"Jonathan Groff is an American stage performer and TV actor. He was born on March 26, 1985, in Lancaster, Pennsylvania.

Groff originated the role of Melchior Gabor in the Broadway production of Spring Awakening since its debut on December 10, 2006. He also played the same role in the original Off Broadway production earlier during the summer of 2006. In 2007 he played the recurring role of Henry Mackler on the ABC soap opera One Life to Live. His https://www.last.fm/music/Jonathan+Groff",748179,13189716,Original Broadway Cast of Hamilton
Lin-Manuel Miranda,"Lin-Manuel Miranda (born January 16, 1980 in New York, NY) is an American actor, singer, songwriter, rapper, director, producer & playwright,  best known for creating and starring in the Broadway musicals In the Heights & Hamilton.

Miranda wrote the music and lyrics for the musical In the Heights, which opened on Broadway at the Richard Rodgers Theatre in March 2008. Miranda's written work for the show earned him numerous accolades, including the 2008 Tony Award for Best Original Score and the 2009 Grammy Award for Best Musical Theater Album. https://www.last.fm/music/Lin-Manuel+Miranda",722417,26857358,Leslie Odom Jr.
"Fear, and Loathing in Las Vegas","Fear, and Loathing in Las Vegas is a electronicore band formed in the summer of 2008 in Kobe, Hyōgo Prefecture, Japan. The band was formed by members from Ending for a Start and Blank Time.

The band mainly plays heavy music with both high and low shouts, but unlike typical metal sounds, they have electronic beats and autotuned singing. The band spent much time searching for a clean vocalist, So (ex. Bombreligion) joined in the spring of 2009 as their 6th member. https://www.last.fm/music/Fear,+and+Loathing+in+Las+Vegas",222284,8167150,a crowd of rebellion
Kazuya Yoshii,"Kazuya Yoshii ( 吉井和哉,  born on October 8th, 1966 in Tokyo, Japan )  is the vocalist and guitarist of the japanese rock band The Yellow Monkey. After they went on hiatus in 2001 and disbanded in 2004, he started his solo career in 2003 with his first single 'TALI' under the name Yoshii Lovinson until 2006 when he switched back to his real name. He resumed his activities with the band when they reunited in 2016. https://www.last.fm/music/Kazuya+Yoshii",32608,348793,Takayoshi Tanimoto
Leslie Odom Jr.,"Leslie Odom, Jr (born August 6, 1981) is an American actor and singer. He has performed on Broadway and in television and film, as well as in other theatrical productions. 
He is best known for the roles of Aaron Burr in the 2015 musical Hamilton and Sam Strickland in the 2013 musical television series Smash.
 https://www.last.fm/music/Leslie+Odom+Jr.",831542,36612703,Christopher Jackson
Original Broadway Cast of Hamilton,"Hamilton is a musical written by Lin-Manuel Miranda that debuted off-Broadway in February 2015, and on Broadway in August. The cast recording of its Broadway production released in September that year; on streaming services, the songs sung by the entire cast are attributed to "" Original Broadway Cast of Hamilton"". https://www.last.fm/music/Original+Broadway+Cast+of+Hamilton",458739,11844108,"Leslie Odom Jr., Lin-Manuel Miranda, Original Broadway Cast of Hamilton"
Aimer,"There are at least 4 artists who go by Aimer:

1. Aimer (エメ, pronounced eh-meh) is a Japanese pop singer and lyricist signed to SACRA MUSIC and managed by agehasprings. She played piano in elementary school and picked up the guitar in junior high school. She writes music in both Japanese and English and has a good command of English from her experiences living abroad.

2. AIMER (Sometimes stylised as ""AiMER"") is a Dubstep producer and DJ from Brisbane, Australia. https://www.last.fm/music/Aimer",467477,24066002,ReoNa
Christopher Jackson,"Christopher Neal Jackson (born September 30, 1975) is an American actor, singer, musician, and composer. He began his career in 1995 starring in the Off-Broadway musical Time and the Wind by composer Galt MacDermot when he was just 20 years old. He made his Broadway debut in 1997 as an ensemble member in the Original Broadway Cast of Disney's The Lion King. He remained with the show for several years, ultimately taking over the role of Simba. He went on to perform leading roles in several more Broadway musicals and plays https://www.last.fm/music/Christopher+Jackson",593478,10402559,Phillipa Soo
Toby Fox,"Toby Fox is an American developer and composer behind the 2015 hit indie video game Undertale.

In 2018, Toby Fox released Chapter 1 of his game Deltarune, following suit and composing the soundtrack on his own. Chapter 2 followed in 2021, Chapters 3 and 4 in 2025, and Chapter 5 slated for release in 2026, each accompanied by his music with minor contributions from other artists. In 2020, Fox contributed to the OMORI soundtrack.

Additionally, under the alias Radiation, Fox composed music for the webcomic Homestuck. https://www.last.fm/music/Toby+Fox",1166499,148444171,Lena Raine
